algo,exp,eta_zero,loss
FTRL,0,0.10000000149011612,0.5554118738546967
Tight prox FTRL,0,0.10000000149011612,0.5552511891209533
Prox FTRL,0,0.10000000149011612,0.5552760574442938
AdaHedge FTRL,0,0.10000000149011612,0.401845065285987
Proximal Point,0,0.10000000149011612,0.49613354192099
FTRL,0,0.14384499192237854,0.5289867118299008
Tight prox FTRL,0,0.14384499192237854,0.5282455032541469
Prox FTRL,0,0.14384499192237854,0.528279739318522
AdaHedge FTRL,0,0.14384499192237854,0.39570796090367866
Proximal Point,0,0.14384499192237854,0.47035656274160653
FTRL,0,0.2069138139486313,0.5037078318446875
Tight prox FTRL,0,0.2069138139486313,0.5018360362574656
Prox FTRL,0,0.2069138139486313,0.5018804978282985
AdaHedge FTRL,0,0.2069138139486313,0.39078689076649475
Proximal Point,0,0.2069138139486313,0.4471972307882435
FTRL,0,0.29763513803482056,0.48077933591231703
Tight prox FTRL,0,0.29763513803482056,0.4769530153817265
Prox FTRL,0,0.29763513803482056,0.4770075710491874
AdaHedge FTRL,0,0.29763513803482056,0.38692195647955113
Proximal Point,0,0.29763513803482056,0.4266811023555385
FTRL,0,0.4281332492828369,0.4612289203964174
Tight prox FTRL,0,0.4281332492828369,0.45412835779462873
Prox FTRL,0,0.4281332492828369,0.4541921574549896
AdaHedge FTRL,0,0.4281332492828369,0.3839456533144167
Proximal Point,0,0.4281332492828369,0.40914662068062974
FTRL,0,0.615848183631897,0.4465392865352333
Tight prox FTRL,0,0.615848183631897,0.43378341492835815
Prox FTRL,0,0.615848183631897,0.43385533390451636
AdaHedge FTRL,0,0.615848183631897,0.3817038180878468
Proximal Point,0,0.615848183631897,0.39533644827435344
FTRL,0,0.8858667612075806,0.43930590684711934
Tight prox FTRL,0,0.8858667612075806,0.4164306004452437
Prox FTRL,0,0.8858667612075806,0.4165089104748643
AdaHedge FTRL,0,0.8858667612075806,0.3800633049313478
Proximal Point,0,0.8858667612075806,0.38572905322367057
FTRL,0,1.2742749452590942,0.44344490705430506
Tight prox FTRL,0,1.2742749452590942,0.40255285435898414
Prox FTRL,0,1.2742749452590942,0.40263491721789557
AdaHedge FTRL,0,1.2742749452590942,0.37891416849505344
Proximal Point,0,1.2742749452590942,0.3799402816941007
FTRL,0,1.832980751991272,0.4638865563571453
Tight prox FTRL,0,1.832980751991272,0.392299741750109
Prox FTRL,0,1.832980751991272,0.39238312050449936
AdaHedge FTRL,0,1.832980751991272,0.3781670066624192
Proximal Point,0,1.832980751991272,0.37688470143840835
FTRL,0,2.636650800704956,0.5061791304200888
Tight prox FTRL,0,2.636650800704956,0.385340237767145
Prox FTRL,0,2.636650800704956,0.3854215881727565
AdaHedge FTRL,0,2.636650800704956,0.3777546155460072
Proximal Point,0,2.636650800704956,0.3754351352979912
FTRL,0,3.7926902770996094,0.5764486171621829
Tight prox FTRL,0,3.7926902770996094,0.3810074806653413
Prox FTRL,0,3.7926902770996094,0.3810844534538039
AdaHedge FTRL,0,3.7926902770996094,0.3776335783383222
Proximal Point,0,3.7926902770996094,0.3748489458126515
FTRL,0,5.455595016479492,0.681815730188042
Tight prox FTRL,0,5.455595016479492,0.3785851333317924
Prox FTRL,0,5.455595016479492,0.3786559051078348
AdaHedge FTRL,0,5.455595016479492,0.3777775738713305
Proximal Point,0,5.455595016479492,0.3747660912074479
FTRL,0,7.847599506378174,0.8311464248113334
Tight prox FTRL,0,7.847599506378174,0.377512930335572
Prox FTRL,0,7.847599506378174,0.3775766484538669
AdaHedge FTRL,0,7.847599506378174,0.37817293968905286
Proximal Point,0,7.847599506378174,0.37507219374630774
FTRL,0,11.288378715515137,1.0360304985754192
Tight prox FTRL,0,11.288378715515137,0.3774484116543933
Prox FTRL,0,11.288378715515137,0.37750526828899367
AdaHedge FTRL,0,11.288378715515137,0.37881781043104856
Proximal Point,0,11.288378715515137,0.3757939973262616
FTRL,0,16.237768173217773,1.311960781209171
Tight prox FTRL,0,16.237768173217773,0.3782376439569135
Prox FTRL,0,16.237768173217773,0.3782886598256736
AdaHedge FTRL,0,16.237768173217773,0.3797211803974288
Proximal Point,0,16.237768173217773,0.37703284860589376
FTRL,0,23.357213973999023,1.67981561794132
Tight prox FTRL,0,23.357213973999023,0.37986582459298757
Prox FTRL,0,23.357213973999023,0.37991258353328716
AdaHedge FTRL,0,23.357213973999023,0.3809008859922135
Proximal Point,0,23.357213973999023,0.3789291273044519
FTRL,0,33.598182678222656,2.1688315100371836
Tight prox FTRL,0,33.598182678222656,0.3824363439388944
Prox FTRL,0,33.598182678222656,0.3824806954799725
AdaHedge FTRL,0,33.598182678222656,0.38238718261772
Proximal Point,0,33.598182678222656,0.38167326242520644
FTRL,0,48.32930374145508,2.82235269805789
Tight prox FTRL,0,48.32930374145508,0.3861673238887351
Prox FTRL,0,48.32930374145508,0.3862106409460338
AdaHedge FTRL,0,48.32930374145508,0.3842253587763874
Proximal Point,0,48.32930374145508,0.38553203366143435
FTRL,0,69.51927947998047,3.708809432953596
Tight prox FTRL,0,69.51927947998047,0.39137222139337524
Prox FTRL,0,69.51927947998047,0.3914131133864999
AdaHedge FTRL,0,69.51927947998047,0.3864778750549168
Proximal Point,0,69.51927947998047,0.390846702830985
FTRL,0,100.0,4.945297694742679
Tight prox FTRL,0,100.0,0.3984024408098552
Prox FTRL,0,100.0,0.39843765861946384
AdaHedge FTRL,0,100.0,0.3892085877915028
Proximal Point,0,100.0,0.3979802649958977
FTRL,1,0.10000000149011612,0.5478896109685302
Tight prox FTRL,1,0.10000000149011612,0.5476990475082062
Prox FTRL,1,0.10000000149011612,0.5477266659088198
AdaHedge FTRL,1,0.10000000149011612,0.39368446154837017
Proximal Point,1,0.10000000149011612,0.4850043764845615
FTRL,1,0.14384499192237854,0.5206133834123612
Tight prox FTRL,1,0.14384499192237854,0.5198007348560594
