algo,exp,eta_zero,loss
FTRL,0,0.009999999776482582,0.6337489539086819
Tight prox FTRL,0,0.009999999776482582,0.6349172164061248
Prox FTRL,0,0.009999999776482582,0.6349309010670872
AdaHedge FTRL,0,0.009999999776482582,0.5841457794425984
Proximal Point,0,0.009999999776482582,0.5910999127110318
FTRL,0,0.016237767413258553,0.6043170653358102
Tight prox FTRL,0,0.016237767413258553,0.6068377611985565
Prox FTRL,0,0.016237767413258553,0.6068642761109564
AdaHedge FTRL,0,0.016237767413258553,0.5622345632469044
Proximal Point,0,0.016237767413258553,0.5493903168695707
FTRL,0,0.02636650949716568,0.5655282843951136
Tight prox FTRL,0,0.02636650949716568,0.5704822890022305
Prox FTRL,0,0.02636650949716568,0.5705282398054653
AdaHedge FTRL,0,0.02636650949716568,0.5379949664216969
Proximal Point,0,0.02636650949716568,0.501047594023798
FTRL,0,0.04281332343816757,0.5188801215998828
Tight prox FTRL,0,0.04281332343816757,0.527529718804285
Prox FTRL,0,0.04281332343816757,0.5276003357332572
AdaHedge FTRL,0,0.04281332343816757,0.5119876037862974
Proximal Point,0,0.04281332343816757,0.4505727372420003
FTRL,0,0.0695192813873291,0.46843895299546423
Tight prox FTRL,0,0.0695192813873291,0.48165495972211525
Prox FTRL,0,0.0695192813873291,0.48175138417204116
AdaHedge FTRL,0,0.0695192813873291,0.4849987398634076
Proximal Point,0,0.0695192813873291,0.4030774439838599
FTRL,0,0.1128837913274765,0.4197588084116578
Tight prox FTRL,0,0.1128837913274765,0.43729564364728946
Prox FTRL,0,0.1128837913274765,0.4374147348304359
AdaHedge FTRL,0,0.1128837913274765,0.4579586915894214
Proximal Point,0,0.1128837913274765,0.3626061797613874
FTRL,0,0.18329806625843048,0.3783950452511199
Tight prox FTRL,0,0.18329806625843048,0.39819299974768074
Prox FTRL,0,0.18329806625843048,0.39832822298936665
AdaHedge FTRL,0,0.18329806625843048,0.43182524287903623
Proximal Point,0,0.18329806625843048,0.33136607344308766
FTRL,0,0.29763513803482056,0.34957692673848945
Tight prox FTRL,0,0.29763513803482056,0.36668959827566583
Prox FTRL,0,0.29763513803482056,0.366833176001667
AdaHedge FTRL,0,0.29763513803482056,0.4074749321084835
Proximal Point,0,0.29763513803482056,0.3098426498537242
FTRL,0,0.4832930266857147,0.3399956287313253
Tight prox FTRL,0,0.4832930266857147,0.34378045932625223
Prox FTRL,0,0.4832930266857147,0.34392557344239855
AdaHedge FTRL,0,0.4832930266857147,0.3856275940661728
Proximal Point,0,0.4832930266857147,0.2972725995140257
FTRL,0,0.7847599983215332,0.3632758394703269
Tight prox FTRL,0,0.7847599983215332,0.3294762053454679
Prox FTRL,0,0.7847599983215332,0.3296170192103597
AdaHedge FTRL,0,0.7847599983215332,0.3668109005349303
Proximal Point,0,0.7847599983215332,0.29222333760995073
FTRL,0,1.2742749452590942,0.45156219294294714
Tight prox FTRL,0,1.2742749452590942,0.32323702974575663
Prox FTRL,0,1.2742749452590942,0.32337018312434396
AdaHedge FTRL,0,1.2742749452590942,0.35136872349611986
Proximal Point,0,1.2742749452590942,0.29334663715939135
FTRL,0,2.0691380500793457,0.6936068083643914
Tight prox FTRL,0,2.0691380500793457,0.3244490486675643
Prox FTRL,0,2.0691380500793457,0.3245735340064757
AdaHedge FTRL,0,2.0691380500793457,0.33948857629110846
Proximal Point,0,2.0691380500793457,0.3001075913926316
FTRL,0,3.35981822013855,1.2810883612930775
Tight prox FTRL,0,3.35981822013855,0.33286316907536273
Prox FTRL,0,3.35981822013855,0.3329794458257107
AdaHedge FTRL,0,3.35981822013855,0.33124465877954656
Proximal Point,0,3.35981822013855,0.3129171867199948
FTRL,0,5.455595016479492,3.0188533074855806
Tight prox FTRL,0,5.455595016479492,0.34876209187648616
Prox FTRL,0,5.455595016479492,0.34887148349897584
AdaHedge FTRL,0,5.455595016479492,0.32664518431752004
Proximal Point,0,5.455595016479492,0.3326816124586226
FTRL,0,8.858668327331543,7.662814082503319
Tight prox FTRL,0,8.858668327331543,0.3726857752046084
Prox FTRL,0,8.858668327331543,0.3727881525884222
AdaHedge FTRL,0,8.858668327331543,0.32568122729606575
Proximal Point,0,8.858668327331543,0.3602608029060519
FTRL,0,14.384498596191406,
Tight prox FTRL,0,14.384498596191406,0.4048622787466138
Prox FTRL,0,14.384498596191406,0.40495489104248417
AdaHedge FTRL,0,14.384498596191406,0.32837218181037225
Proximal Point,0,14.384498596191406,0.3958692691558047
FTRL,0,23.357213973999023,
Tight prox FTRL,0,23.357213973999023,0.4445161916846996
Prox FTRL,0,23.357213973999023,0.44459486205866
AdaHedge FTRL,0,23.357213973999023,0.334795512303954
Proximal Point,0,23.357213973999023,0.4385274843642701
FTRL,0,37.926902770996094,
Tight prox FTRL,0,37.926902770996094,0.4891773810663169
Prox FTRL,0,37.926902770996094,0.48924054120344496
AdaHedge FTRL,0,37.926902770996094,0.34509554048218605
Proximal Point,0,37.926902770996094,0.48554076492864295
FTRL,0,61.58481979370117,
Tight prox FTRL,0,61.58481979370117,0.5347546897606432
Prox FTRL,0,61.58481979370117,0.5348020926694405
AdaHedge FTRL,0,61.58481979370117,0.35944333955300695
Proximal Point,0,61.58481979370117,0.5327369788133004
FTRL,0,100.0,
Tight prox FTRL,0,100.0,0.5767377915993146
Prox FTRL,0,100.0,0.5767648177727334
AdaHedge FTRL,0,100.0,0.3779738929550143
Proximal Point,0,100.0,0.5757122547087105
FTRL,1,0.009999999776482582,0.6361740474104881
Tight prox FTRL,1,0.009999999776482582,0.6372962024783034
Prox FTRL,1,0.009999999776482582,0.6373079931148672
AdaHedge FTRL,1,0.009999999776482582,0.58854016767708
Proximal Point,1,0.009999999776482582,0.5965237698610664
FTRL,1,0.016237767413258553,0.6077028633058071
Tight prox FTRL,1,0.016237767413258553,0.6101382470043396
Prox FTRL,1,0.016237767413258553,0.6101610727958513
AdaHedge FTRL,1,0.016237767413258553,0.5672957917519678
Proximal Point,1,0.016237767413258553,0.5564341185430922
FTRL,1,0.02636650949716568,0.5699220072515309
Tight prox FTRL,1,0.02636650949716568,0.5747479531537311
Prox FTRL,1,0.02636650949716568,0.5747876711304193
AdaHedge FTRL,1,0.02636650949716568,0.5436918642915152
Proximal Point,1,0.02636650949716568,0.5094710100770342
FTRL,1,0.04281332343816757,0.5240774390827865
Tight prox FTRL,1,0.04281332343816757,0.5325980609119446
Prox FTRL,1,0.04281332343816757,0.5326593724215699
AdaHedge FTRL,1,0.04281332343816757,0.518236338671081
Proximal Point,1,0.04281332343816757,0.45978391577823735
FTRL,1,0.0695192813873291,0.47395344972610476
Tight prox FTRL,1,0.0695192813873291,0.4871701437603242
Prox FTRL,1,0.0695192813873291,0.4872542022220052
AdaHedge FTRL,1,0.0695192813873291,0.4916642210954058
Proximal Point,1,0.0695192813873291,0.41231885645153626
FTRL,1,0.1128837913274765,0.42490916678588836
Tight prox FTRL,1,0.1128837913274765,0.4428345928926536
Prox FTRL,1,0.1128837913274765,0.44293829159695774
AdaHedge FTRL,1,0.1128837913274765,0.4648650362359802
Proximal Point,1,0.1128837913274765,0.3712577041855077
FTRL,1,0.18329806625843048,0.3823988584857434
Tight prox FTRL,1,0.18329806625843048,0.40341374249551554
Prox FTRL,1,0.18329806625843048,0.4035308826511832
AdaHedge FTRL,1,0.18329806625843048,0.43877714233928644
Proximal Point,1,0.18329806625843048,0.33912982097130523
FTRL,1,0.29763513803482056,0.3514864708436653
Tight prox FTRL,1,0.29763513803482056,0.3714028315027192
Prox FTRL,1,0.29763513803482056,0.3715261090301855
AdaHedge FTRL,1,0.29763513803482056,0.4142828111421498
Proximal Point,1,0.29763513803482056,0.31669923748584794
FTRL,1,0.4832930266857147,0.33860858451761305
Tight prox FTRL,1,0.4832930266857147,0.3479294285021733
Prox FTRL,1,0.4832930266857147,0.34805209199939197
AdaHedge FTRL,1,0.4832930266857147,0.39212700160136477
Proximal Point,1,0.4832930266857147,0.30332799175290115
FTRL,1,0.7847599983215332,0.3576753375940025
Tight prox FTRL,1,0.7847599983215332,0.3330737359392295
Prox FTRL,1,0.7847599983215332,0.333191185069453
AdaHedge FTRL,1,0.7847599983215332,0.37287524775548264
Proximal Point,1,0.7847599983215332,0.2975809580458825
FTRL,1,1.2742749452590942,0.4446056965254247
Tight prox FTRL,1,1.2742749452590942,0.3263031278815924
Prox FTRL,1,1.2742749452590942,0.32641241722725156
AdaHedge FTRL,1,1.2742749452590942,0.35690888831991924
Proximal Point,1,1.2742749452590942,0.2980328620790054
FTRL,1,2.0691380500793457,0.6953630770370364
Tight prox FTRL,1,2.0691380500793457,0.3269643289251312
Prox FTRL,1,2.0691380500793457,0.3270646663415221
AdaHedge FTRL,1,2.0691380500793457,0.3444492745386568
Proximal Point,1,2.0691380500793457,0.30404872418572265
FTRL,1,3.35981822013855,1.3125226482003927
Tight prox FTRL,1,3.35981822013855,0.3347498221476647
Prox FTRL,1,3.35981822013855,0.33484256952740604
AdaHedge FTRL,1,3.35981822013855,0.33559506201483685
Proximal Point,1,3.35981822013855,0.31597685669265435
FTRL,1,5.455595016479492,3.0813348398208618
Tight prox FTRL,1,5.455595016479492,0.34989538447275015
Prox FTRL,1,5.455595016479492,0.3499817554270169
