,experiment,dim,num_of_samples,type,prox_pt_time,sgd_time
0,0,1000,5000,Least squares,0.21751218800000016,0.06135156900000016
1,0,1000,5000,Logistic regression,0.36222043699999995,0.06515513800000017
2,0,1000,10000,Least squares,0.3292077779999998,0.08735524499999991
3,0,1000,10000,Logistic regression,0.6951315880000002,0.08872659699999996
4,0,1000,15000,Least squares,0.4710665790000004,0.13206656800000083
5,0,1000,15000,Logistic regression,1.0100889659999996,0.15771961499999954
6,0,1000,20000,Least squares,0.678647915,0.17598953500000025
7,0,1000,20000,Logistic regression,1.3659422889999995,0.17086982699999886
8,0,1000,25000,Least squares,0.8139574219999997,0.21331115400000122
9,0,1000,25000,Logistic regression,1.7186737050000005,0.2159625719999987
10,0,1000,30000,Least squares,0.9719483259999997,0.2639078220000002
11,0,1000,30000,Logistic regression,2.148928081000001,0.30440147399999873
12,0,2000,5000,Least squares,0.17551857399999982,0.052592129000000654
13,0,2000,5000,Logistic regression,0.3462840459999992,0.0473660080000009
14,0,2000,10000,Least squares,0.326970953,0.08997948000000022
15,0,2000,10000,Logistic regression,0.6841220989999997,0.09497193500000023
16,0,2000,15000,Least squares,0.5420932160000014,0.14727312699999828
17,0,2000,15000,Logistic regression,1.1577385129999982,0.15724929199999949
18,0,2000,20000,Least squares,0.7112006099999988,0.2020550589999992
19,0,2000,20000,Logistic regression,1.720573453,0.20346636000000018
20,0,2000,25000,Least squares,0.8618132410000001,0.23387842200000009
21,0,2000,25000,Logistic regression,1.8256979219999998,0.2885845050000029
22,0,2000,30000,Least squares,1.076335339,0.34197233799999793
23,0,2000,30000,Logistic regression,2.271722593,0.2946943229999981
24,0,3000,5000,Least squares,0.16744634500000188,0.047460702999998716
25,0,3000,5000,Logistic regression,0.382854180999999,0.0593735070000001
26,0,3000,10000,Least squares,0.33753544599999685,0.0961586419999989
27,0,3000,10000,Logistic regression,0.7588328149999981,0.12174672499999417
28,0,3000,15000,Least squares,0.6000109419999973,0.16213591100000002
29,0,3000,15000,Logistic regression,1.072130829999999,0.14880832400000088
