,repetition,step size,type,algorithm,loss
0,0,0.009999999776482582,Least squares,proximal point,54.03292614626891
1,0,0.009999999776482582,Least squares,gradient,421.640729964557
2,0,0.009999999776482582,Logistic regression,proximal point,0.5458628166536313
3,0,0.009999999776482582,Logistic regression,gradient,0.6911001277267933
4,0,0.01268961001187563,Least squares,proximal point,38.21539119911185
5,0,0.01268961001187563,Least squares,gradient,414.85122028448706
6,0,0.01268961001187563,Logistic regression,proximal point,0.5204205808422043
7,0,0.01268961001187563,Logistic regression,gradient,0.6898585527956486
8,0,0.016102619469165802,Least squares,proximal point,27.019744515601154
9,0,0.016102619469165802,Least squares,gradient,404.1823675941202
10,0,0.016102619469165802,Logistic regression,proximal point,0.49320645499634214
11,0,0.016102619469165802,Logistic regression,gradient,0.6878714137434959
12,0,0.020433597266674042,Least squares,proximal point,19.45872593105614
13,0,0.020433597266674042,Least squares,gradient,387.66383909922007
14,0,0.020433597266674042,Logistic regression,proximal point,0.46479167538345856
15,0,0.020433597266674042,Logistic regression,gradient,0.684702749466896
16,0,0.025929437950253487,Least squares,proximal point,14.483138359112651
17,0,0.025929437950253487,Least squares,gradient,362.68548442500895
18,0,0.025929437950253487,Logistic regression,proximal point,0.4358084282709302
19,0,0.025929437950253487,Logistic regression,gradient,0.6796799813568593
20,0,0.03290344402194023,Least squares,proximal point,11.226109413704389
21,0,0.03290344402194023,Least squares,gradient,326.3058869295113
22,0,0.03290344402194023,Logistic regression,proximal point,0.406881276533144
23,0,0.03290344402194023,Logistic regression,gradient,0.6717936063468456
24,0,0.04175318777561188,Least squares,proximal point,9.074747080912257
25,0,0.04175318777561188,Least squares,gradient,276.36098296938496
26,0,0.04175318777561188,Logistic regression,proximal point,0.3785700198800443
27,0,0.04175318777561188,Logistic regression,gradient,0.6595973016530275
28,0,0.05298316851258278,Least squares,proximal point,7.631252747758583
29,0,0.05298316851258278,Least squares,gradient,213.7965717186281
30,0,0.05298316851258278,Logistic regression,proximal point,0.351333108613612
31,0,0.05298316851258278,Logistic regression,gradient,0.6411808401882648
32,0,0.06723357737064362,Least squares,proximal point,6.972093657606942
33,0,0.06723357737064362,Least squares,gradient,147.63580206063003
34,0,0.06723357737064362,Logistic regression,proximal point,0.32469827226564646
35,0,0.06723357737064362,Logistic regression,gradient,0.6135654279649257
36,0,0.08531678467988968,Least squares,proximal point,6.1993036174343885
37,0,0.08531678467988968,Least squares,gradient,85.69266730294278
38,0,0.08531678467988968,Logistic regression,proximal point,0.3005507434373011
39,0,0.08531678467988968,Logistic regression,gradient,0.5762314235284924
40,0,0.10826367139816284,Least squares,proximal point,5.655719344550322
41,0,0.10826367139816284,Least squares,gradient,42.494751790081
42,0,0.10826367139816284,Logistic regression,proximal point,0.2782070435203851
43,0,0.10826367139816284,Logistic regression,gradient,0.5284424690306186
44,0,0.137382373213768,Least squares,proximal point,5.270703526904257
45,0,0.137382373213768,Least squares,gradient,19.92104227840558
46,0,0.137382373213768,Logistic regression,proximal point,0.25772138236216174
47,0,0.137382373213768,Logistic regression,gradient,0.4725212959287688
48,0,0.1743328869342804,Least squares,proximal point,4.997216623737669
49,0,0.1743328869342804,Least squares,gradient,10.927638250430016
50,0,0.1743328869342804,Logistic regression,proximal point,0.23908471867813577
51,0,0.1743328869342804,Logistic regression,gradient,0.41291523361522703
52,0,0.22122162580490112,Least squares,proximal point,4.8031318313671125
53,0,0.22122162580490112,Least squares,gradient,9.930435766162141
54,0,0.22122162580490112,Logistic regression,proximal point,0.22224496897872809
55,0,0.22122162580490112,Logistic regression,gradient,0.35444661477473566
56,0,0.28072163462638855,Least squares,proximal point,4.665975726387888
57,0,0.28072163462638855,Least squares,gradient,25.095579959799164
58,0,0.28072163462638855,Logistic regression,proximal point,0.20712362544075785
59,0,0.28072163462638855,Logistic regression,gradient,0.3007501448747404
60,0,0.35622477531433105,Least squares,proximal point,4.569723722329513
61,0,0.35622477531433105,Least squares,gradient,381.99493212718795
62,0,0.35622477531433105,Logistic regression,proximal point,0.19362873078594733
63,0,0.35622477531433105,Logistic regression,gradient,0.25389200895132674
64,0,0.4520353674888611,Least squares,proximal point,4.521237522933572
65,0,0.4520353674888611,Least squares,gradient,54882.260459295605
66,0,0.4520353674888611,Logistic regression,proximal point,0.18165774472552346
67,0,0.4520353674888611,Logistic regression,gradient,0.2148859165496775
68,0,0.5736152529716492,Least squares,proximal point,4.479854665093067
69,0,0.5736152529716492,Least squares,gradient,20433570100.289936
70,0,0.5736152529716492,Logistic regression,proximal point,0.1711192936281155
71,0,0.5736152529716492,Logistic regression,gradient,0.18461386540581992
72,0,0.7278953790664673,Least squares,proximal point,4.451848403567462
73,0,0.7278953790664673,Least squares,gradient,1.4984766575060601e+27
74,0,0.7278953790664673,Logistic regression,proximal point,0.16192503780085732
75,0,0.7278953790664673,Logistic regression,gradient,0.16706117370284254
76,0,0.9236708283424377,Least squares,proximal point,4.433223287290715
77,0,0.9236708283424377,Least squares,gradient,inf
78,0,0.9236708283424377,Logistic regression,proximal point,0.15397698727892672
79,0,0.9236708283424377,Logistic regression,gradient,0.17083554247045052
80,0,1.1721023321151733,Least squares,proximal point,4.421092737164481
81,0,1.1721023321151733,Least squares,gradient,
82,0,1.1721023321151733,Logistic regression,proximal point,0.14718238386470667
83,0,1.1721023321151733,Logistic regression,gradient,0.20655927216439077
84,0,1.4873521327972412,Least squares,proximal point,4.413394002668772
85,0,1.4873521327972412,Least squares,gradient,
86,0,1.4873521327972412,Logistic regression,proximal point,0.14145349934701465
87,0,1.4873521327972412,Logistic regression,gradient,0.2850062438806171
88,0,1.8873918056488037,Least squares,proximal point,4.408670886223699
89,0,1.8873918056488037,Least squares,gradient,
90,0,1.8873918056488037,Logistic regression,proximal point,0.13670661175884846
91,0,1.8873918056488037,Logistic regression,gradient,0.4302226204730602
92,0,2.395026683807373,Least squares,proximal point,4.405908850070988
93,0,2.395026683807373,Least squares,gradient,
94,0,2.395026683807373,Logistic regression,proximal point,0.1328611153258709
95,0,2.395026683807373,Logistic regression,gradient,0.6797307124813129
96,0,3.0391952991485596,Least squares,proximal point,4.4082315177994875
97,0,3.0391952991485596,Least squares,gradient,
98,0,3.0391952991485596,Logistic regression,proximal point,0.129458150241154
99,0,3.0391952991485596,Logistic regression,gradient,0.9777348743100314
100,0,3.8566203117370605,Least squares,proximal point,4.40744226656832
101,0,3.8566203117370605,Least squares,gradient,
102,0,3.8566203117370605,Logistic regression,proximal point,0.1272523790283761
103,0,3.8566203117370605,Logistic regression,gradient,1.592658479481543
104,0,4.8939008712768555,Least squares,proximal point,4.407187492135758
