,repetition,step size,batch size,type,algorithm,loss
0,0,0.009999999776482582,8,Least squares,proximal point,22.50497224035263
1,0,0.009999999776482582,8,Least squares,gradient,53.63170883102417
2,0,0.009999999776482582,16,Least squares,proximal point,14.867379468917846
3,0,0.009999999776482582,16,Least squares,gradient,26.8930632850647
4,0,0.009999999776482582,32,Least squares,proximal point,8.790148474884033
5,0,0.009999999776482582,32,Least squares,gradient,13.489885307312012
6,0,0.013738238252699375,8,Least squares,proximal point,17.44645114841461
7,0,0.013738238252699375,8,Least squares,gradient,53.21107526817322
8,0,0.013738238252699375,16,Least squares,proximal point,11.781667364883424
9,0,0.013738238252699375,16,Least squares,gradient,26.73013846168518
10,0,0.013738238252699375,32,Least squares,proximal point,7.646635666656494
11,0,0.013738238252699375,32,Least squares,gradient,13.43981423034668
12,0,0.018873918801546097,8,Least squares,proximal point,11.944443521809578
13,0,0.018873918801546097,8,Least squares,gradient,52.37714437789917
14,0,0.018873918801546097,16,Least squares,proximal point,9.344588802528381
15,0,0.018873918801546097,16,Least squares,gradient,26.45731936416626
16,0,0.018873918801546097,32,Least squares,proximal point,6.19403674583435
17,0,0.018873918801546097,32,Least squares,gradient,13.33889676208496
18,0,0.025929437950253487,8,Least squares,proximal point,8.256452897286415
19,0,0.025929437950253487,8,Least squares,gradient,50.93590051765442
20,0,0.025929437950253487,16,Least squares,proximal point,6.404454677581787
21,0,0.025929437950253487,16,Least squares,gradient,25.89267927055359
22,0,0.025929437950253487,32,Least squares,proximal point,4.899858841705322
23,0,0.025929437950253487,32,Least squares,gradient,13.159960189819335
24,0,0.035622477531433105,8,Least squares,proximal point,5.0188292134821415
25,0,0.035622477531433105,8,Least squares,gradient,48.17590656433106
26,0,0.035622477531433105,16,Least squares,proximal point,4.582458013010025
27,0,0.035622477531433105,16,Least squares,gradient,24.96990724105835
28,0,0.035622477531433105,32,Least squares,proximal point,3.487676004600525
29,0,0.035622477531433105,32,Least squares,gradient,12.816667282104492
30,0,0.04893900826573372,8,Least squares,proximal point,3.358638220949471
31,0,0.04893900826573372,8,Least squares,gradient,43.7000043680191
32,0,0.04893900826573372,16,Least squares,proximal point,2.737529543352127
