,experiment,algorithm,step size,loss
0,0,proximal point,0.1,0.022257800951928714
1,0,SGD,0.1,0.02225780023048919
2,0,proximal point,0.1249609141291987,0.022257800950659358
3,0,SGD,0.1249609141291987,0.022257800227121153
4,0,proximal point,0.15615230060004973,0.02225780094904577
5,0,SGD,0.15615230060004973,0.0222578002225393
6,0,proximal point,0.19512934226359632,0.0222578009469851
7,0,SGD,0.19512934226359632,0.022257800217009936
8,0,proximal point,0.24383540982688284,0.022257800944337963
9,0,SGD,0.24383540982688284,0.022257800210209278
10,0,proximal point,0.30469895709035083,0.022257800940913904
11,0,SGD,0.30469895709035083,0.02225780019872491
12,0,proximal point,0.3807546021222372,0.02225780093644969
13,0,SGD,0.3807546021222372,0.022257800175087324
14,0,proximal point,0.475794431400941,0.022257800930560897
15,0,SGD,0.475794431400941,0.022257800135975957
16,0,proximal point,0.5945570708544391,0.02225780092268555
17,0,SGD,0.5945570708544391,0.02225780007415833
18,0,proximal point,0.7429639507594948,0.022257800911974688
19,0,SGD,0.7429639507594948,0.02225779996551446
20,0,proximal point,0.9284145445194745,0.022257800897092426
21,0,SGD,0.9284145445194745,0.022257799777249964
22,0,proximal point,1.1601553017399715,0.02225780087583732
23,0,SGD,1.1601553017399715,0.022257799427792997
24,0,proximal point,1.4497406703726314,0.022257800844426662
25,0,SGD,1.4497406703726314,0.02225779862081272
26,0,proximal point,1.8116091942004142,0.02225780079595208
27,0,SGD,1.8116091942004142,0.02225779640619785
28,0,proximal point,2.2638034095214477,0.022257800716923782
29,0,SGD,2.2638034095214477,0.022257787838738115
30,0,proximal point,2.8288694346259695,0.022257800578819723
31,0,SGD,2.8288694346259695,0.022257727696367146
32,0,proximal point,3.5349811050301057,0.022257791260015425
33,0,SGD,3.5349811050301057,0.022257007852206516
34,0,proximal point,4.417344703140069,0.02225778479369004
35,0,SGD,4.417344703140069,0.02219813114335484
36,0,proximal point,5.5199543212815705,0.02225776990975184
37,0,SGD,5.5199543212815705,0.021430994713629845
38,0,proximal point,6.8977853793876545,0.022257729378929548
39,0,SGD,6.8977853793876545,0.02096301239657514
40,0,proximal point,8.619535664753032,0.022257592395268807
41,0,SGD,8.619535664753032,0.020752120815653325
42,0,proximal point,10.77105056036769,0.022256981227930333
43,0,SGD,10.77105056036769,0.020642283706835587
44,0,proximal point,13.459603241553642,0.022253102139455715
45,0,SGD,13.459603241553642,0.02057584059489891
46,0,proximal point,16.81924324880869,0.02221651903941006
47,0,SGD,16.81924324880869,0.020551546314312146
48,0,proximal point,21.017480113324872,0.021929878597224638
49,0,SGD,21.017480113324872,0.020560038565547438
50,0,proximal point,26.26363527653333,0.021469513958684003
51,0,SGD,26.26363527653333,0.020683298888156423
52,0,proximal point,32.81927872511474,0.021162968049751197
53,0,SGD,32.81927872511474,0.021397085102963318
54,0,proximal point,41.011270705513,0.020947577830582445
